    thread_count     total_time(s) communication_time(s)      cell_time       mRNA_level    protein_level
               1         0.779065         0.000007             3300             5912           911970 
               1         2.289967         0.000086             6600             6155          1256306 
               1         3.744367         0.000165             9900             6127          1371136 
    thread_count     total_time(s) communication_time(s)      cell_time       mRNA_level    protein_level
               2         0.439365         0.000008             3300             6041           911393 
               2         1.292942         0.000088             6600             6008          1259975 
               2         2.126997         0.000166             9900             5951          1365823 
    thread_count     total_time(s) communication_time(s)      cell_time       mRNA_level    protein_level
               4         0.228765         0.000008             3300             6082           909768 
               4         0.675832         0.000092             6600             6007          1259347 
               4         1.106145         0.000175             9900             5993          1370414 
    thread_count     total_time(s) communication_time(s)      cell_time       mRNA_level    protein_level
               8         0.116607         0.000011             3300             5955           910688 
               8         0.340446         0.000096             6600             6038          1256204 
               8         0.555039         0.000183             9900             5860          1366473 
    thread_count     total_time(s) communication_time(s)      cell_time       mRNA_level    protein_level
              16         0.115533         0.000026             3300             6001           909780 
              16         0.340596         0.000115             6600             5959          1256914 
              16         0.553889         0.000451             9900             5956          1366013 
